angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.03,,"[548, 216, 220, 297]",,0.0,,0.02,,0.67,,0.06,,0.02,,0.2,
0.04,,"[549, 215, 221, 298]",,0.0,,0.03,,0.7,,0.08,,0.04,,0.11,
0.0,,"[549, 215, 228, 295]",,0.0,,0.01,,0.88,,0.05,,0.01,,0.05,
0.01,,"[548, 213, 228, 300]",,0.0,,0.01,,0.86,,0.08,,0.01,,0.03,
0.0,,"[550, 210, 230, 305]",,0.0,,0.0,,0.81,,0.14,,0.01,,0.03,
0.02,,"[545, 210, 230, 296]",,0.0,,0.01,,0.78,,0.11,,0.03,,0.05,
0.01,,"[546, 211, 229, 295]",,0.0,,0.01,,0.31,,0.59,,0.05,,0.02,
0.01,,"[546, 213, 229, 290]",,0.0,,0.04,,0.01,,0.83,,0.1,,0.01,
0.0,,"[547, 211, 228, 290]",,0.0,,0.08,,0.0,,0.86,,0.05,,0.0,
0.01,,"[550, 221, 229, 281]",,0.0,,0.04,,0.0,,0.8,,0.15,,0.0,
0.01,,"[545, 211, 228, 287]",,0.0,,0.08,,0.0,,0.85,,0.06,,0.0,
0.01,,"[546, 207, 231, 297]",,0.0,,0.04,,0.0,,0.83,,0.11,,0.0,
0.01,,"[548, 211, 225, 287]",,0.0,,0.03,,0.0,,0.93,,0.03,,0.0,
0.01,,"[546, 205, 228, 302]",,0.0,,0.01,,0.0,,0.92,,0.06,,0.0,
0.0,,"[543, 213, 224, 282]",,0.0,,0.01,,0.08,,0.9,,0.01,,0.0,
0.01,,"[540, 211, 227, 293]",,0.0,,0.01,,0.11,,0.85,,0.02,,0.0,
0.0,,"[539, 214, 227, 292]",,0.0,,0.01,,0.15,,0.82,,0.02,,0.0,
0.0,,"[543, 218, 224, 273]",,0.0,,0.0,,0.57,,0.42,,0.0,,0.01,
0.0,,"[542, 219, 224, 272]",,0.0,,0.0,,0.55,,0.44,,0.0,,0.01,
0.0,,"[538, 218, 226, 275]",,0.0,,0.0,,0.79,,0.2,,0.0,,0.01,
0.0,,"[539, 218, 225, 273]",,0.0,,0.0,,0.73,,0.25,,0.0,,0.01,
0.0,,"[539, 216, 225, 283]",,0.0,,0.0,,0.79,,0.21,,0.0,,0.0,
0.0,,"[535, 218, 223, 281]",,0.0,,0.0,,0.71,,0.28,,0.01,,0.0,
0.0,,"[532, 215, 226, 287]",,0.0,,0.0,,0.69,,0.31,,0.0,,0.0,
0.0,,"[533, 217, 224, 285]",,0.0,,0.0,,0.81,,0.18,,0.0,,0.0,
0.0,,"[530, 217, 225, 285]",,0.0,,0.0,,0.76,,0.23,,0.0,,0.0,
0.0,,"[530, 218, 224, 280]",,0.0,,0.0,,0.74,,0.25,,0.0,,0.0,
0.0,,"[529, 217, 222, 277]",,0.0,,0.0,,0.74,,0.24,,0.0,,0.01,
0.0,,"[529, 216, 222, 276]",,0.0,,0.0,,0.59,,0.4,,0.0,,0.0,
0.0,,"[525, 216, 224, 280]",,0.0,,0.0,,0.66,,0.34,,0.0,,0.0,
0.0,,"[525, 215, 230, 288]",,0.0,,0.0,,0.35,,0.64,,0.01,,0.0,
0.01,,"[528, 220, 227, 283]",,0.0,,0.01,,0.02,,0.87,,0.09,,0.0,
0.01,,"[529, 225, 223, 274]",,0.0,,0.03,,0.0,,0.89,,0.06,,0.0,
0.02,,"[528, 224, 223, 277]",,0.0,,0.04,,0.0,,0.74,,0.2,,0.0,
0.05,,"[526, 216, 226, 291]",,0.0,,0.08,,0.0,,0.6,,0.27,,0.0,
0.03,,"[529, 225, 222, 273]",,0.0,,0.04,,0.0,,0.52,,0.41,,0.0,
0.03,,"[529, 226, 221, 271]",,0.0,,0.04,,0.0,,0.74,,0.19,,0.0,
0.06,,"[529, 227, 220, 268]",,0.0,,0.04,,0.0,,0.54,,0.35,,0.0,
0.03,,"[531, 227, 218, 270]",,0.0,,0.04,,0.0,,0.59,,0.34,,0.0,
0.03,,"[531, 228, 219, 271]",,0.0,,0.03,,0.0,,0.33,,0.6,,0.0,
0.03,,"[532, 226, 218, 276]",,0.0,,0.04,,0.0,,0.26,,0.67,,0.0,
0.05,,"[533, 227, 219, 276]",,0.0,,0.07,,0.0,,0.16,,0.72,,0.0,
0.04,,"[534, 227, 219, 275]",,0.0,,0.09,,0.0,,0.11,,0.77,,0.0,
0.03,,"[536, 226, 219, 276]",,0.0,,0.11,,0.0,,0.15,,0.71,,0.0,
0.04,,"[535, 228, 218, 273]",,0.0,,0.09,,0.0,,0.08,,0.79,,0.0,
0.03,,"[533, 232, 218, 270]",,0.0,,0.08,,0.0,,0.12,,0.77,,0.0,
0.04,,"[534, 231, 218, 272]",,0.0,,0.08,,0.0,,0.1,,0.78,,0.0,
0.04,,"[534, 227, 220, 277]",,0.0,,0.09,,0.0,,0.06,,0.8,,0.0,
0.05,,"[536, 230, 218, 271]",,0.0,,0.07,,0.0,,0.03,,0.85,,0.0,
0.05,,"[535, 229, 218, 273]",,0.0,,0.08,,0.0,,0.03,,0.83,,0.0,
0.03,,"[535, 232, 217, 266]",,0.0,,0.12,,0.0,,0.03,,0.82,,0.0,
0.03,,"[532, 229, 218, 269]",,0.0,,0.16,,0.0,,0.04,,0.77,,0.0,
0.02,,"[532, 229, 218, 270]",,0.0,,0.18,,0.0,,0.03,,0.77,,0.0,
0.03,,"[531, 230, 218, 268]",,0.0,,0.22,,0.0,,0.02,,0.72,,0.0,
0.03,,"[531, 229, 218, 269]",,0.0,,0.26,,0.0,,0.02,,0.68,,0.0,
0.02,,"[532, 231, 216, 268]",,0.0,,0.21,,0.0,,0.02,,0.75,,0.0,
0.02,,"[531, 230, 216, 267]",,0.0,,0.37,,0.0,,0.03,,0.57,,0.0,
0.03,,"[532, 229, 216, 269]",,0.0,,0.3,,0.0,,0.03,,0.63,,0.0,
0.03,,"[532, 226, 218, 277]",,0.0,,0.38,,0.0,,0.03,,0.56,,0.0,
0.03,,"[531, 226, 219, 276]",,0.0,,0.46,,0.0,,0.03,,0.48,,0.0,
0.03,,"[530, 224, 221, 279]",,0.0,,0.4,,0.0,,0.04,,0.53,,0.0,
0.03,,"[523, 227, 221, 273]",,0.0,,0.26,,0.0,,0.01,,0.7,,0.0,
0.03,,"[528, 233, 215, 262]",,0.0,,0.05,,0.0,,0.03,,0.88,,0.0,
0.03,,"[527, 229, 217, 268]",,0.0,,0.08,,0.0,,0.05,,0.84,,0.0,
0.02,,"[526, 226, 221, 279]",,0.0,,0.12,,0.0,,0.04,,0.81,,0.0,
0.06,,"[527, 228, 218, 275]",,0.0,,0.43,,0.0,,0.02,,0.49,,0.0,
